Student Name,Student ID,Attendance Percentage,Previous Exam Score,Previous Semester Score,Assignment Score,Internal Assessment Score,Study Hours per Day,Class Participation Percentage,Sleep Hours per Day,Final Performance Score,Performance Category
Varun Pandey,ST1001,64.3,54.7,87.9,61.0,57.1,5.3,78.4,8.3,74.6,Good
Riya Kapoor,ST1002,64.6,49.3,49.0,70.8,72.9,5.1,46.6,5.4,72.0,Good
Arjun Mehta,ST1003,90.5,77.7,78.4,89.7,73.8,8.9,60.6,6.8,100.0,Excellent
Manish Mishra,ST1004,54.0,63.2,44.4,51.1,54.7,4.4,68.3,7.7,67.3,Average
Ayush Kumar,ST1005,68.3,81.5,82.6,82.1,69.5,10.0,68.3,6.0,97.4,Excellent
Vikram Singh,ST1006,45.0,44.2,43.1,60.2,46.4,2.4,69.2,7.6,55.7,Average
Neha Verma,ST1007,73.5,54.7,57.4,61.3,62.0,4.5,88.9,6.7,79.7,Good
Nisha Yadav,ST1008,67.3,46.3,77.9,78.2,72.3,3.0,69.1,7.7,76.7,Good
Rohan Patel,ST1009,72.2,75.1,62.1,69.4,58.1,5.4,70.1,7.2,81.0,Good
Aditya Sharma,ST1010,78.3,82.5,75.7,62.3,72.3,6.1,75.7,9.1,93.8,Excellent
Deepak Yadav,ST1011,49.7,42.0,47.4,57.0,67.2,4.7,32.5,5.7,68.1,Average
Pooja Rana,ST1012,59.8,38.5,49.7,72.3,65.1,3.8,51.3,7.3,69.4,Average
Priya Agarwal,ST1013,45.0,63.9,77.9,54.3,44.4,1.8,45.7,7.0,58.6,Average
Rahul Saxena,ST1014,98.9,84.9,65.5,72.5,83.3,6.7,76.2,6.9,91.3,Excellent
Isha Kapoor,ST1015,93.2,73.2,77.0,78.3,91.3,3.7,76.3,7.0,89.3,Excellent
Akash Gupta,ST1016,45.0,55.7,78.3,62.6,43.0,4.0,56.6,6.8,70.0,Average
Anjali Joshi,ST1017,66.3,46.0,72.5,66.0,43.5,3.0,72.1,6.7,63.5,Average
Varun Bansal,ST1018,83.2,96.9,81.7,84.9,76.8,3.7,76.9,7.9,94.5,Excellent
Aman Chauhan,ST1019,70.6,56.9,51.9,61.3,63.8,2.2,71.9,7.0,73.4,Good
Aryan Verma,ST1020,80.6,69.7,76.0,61.6,55.9,2.1,64.0,7.3,73.6,Good
Meera Kapoor,ST1021,63.0,70.9,67.0,69.5,68.4,2.6,65.8,7.5,84.4,Good
Anjali Yadav,ST1022,64.0,52.6,39.4,52.1,57.8,1.7,54.8,6.7,57.2,Average
